Title,Author,Year,Citation.count,Open.access,DOI,Abstract,doi_n,Source
the productivity advantages of large cities distinguishing agglomeration from firm selection,Pierre‐Philippe Combes|Gilles Duranton|Laurent Gobillon|Diego Puga|Sébastiên Roux,2012,870,NOT Open Access,https://doi.org/10.3982/ecta8442,,10.3982/ecta8442,B27
a meta analysis of estimates of urban agglomeration economies,Patrícia C. Melo|Daniel J. Graham|Robert B. Noland,2008,829,NOT Open Access,https://doi.org/10.1016/j.regsciurbeco.2008.12.002,,10.1016/j.regsciurbeco.2008.12.002,B27
efficiency of resource usage and city size,J. Vernon Henderson,1986,694,NOT Open Access,https://doi.org/10.1016/0094-1190(86)90030-6,,10.1016/0094-1190(86)90030-6,B27
urban mobility and urban form the social and environmental costs of different patterns of urban expansion,Roberto Camagni|María Cristina Gibelli|Paolo Rigamonti,2002,678,NOT Open Access,https://doi.org/10.1016/s0921-8009(01)00254-3,,10.1016/s0921-8009(01)00254-3,B27
the productivity of cities,Leo Sveikauskas,1975,510,NOT Open Access,https://doi.org/10.2307/1885259,,10.2307/1885259,B27
association of black carbon with cognition among children in a prospective birth cohort study,S. F. Suglia|Alexandros Gryparis|Robert O. Wright|Joel Schwartz|Rosalind J. Wright,2007,409,Open Access,https://doi.org/10.1093/aje/kwm308,"While studies show that ultrafine and fine particles can be translocated from the lungs to the central nervous system, the possible neurodegenerative effect of air pollution remains largely unexplored. The authors examined the relation between black carbon, a marker for traffic particles, and cognition among 202 Boston, Massachusetts, children (mean age = 9.7 years (standard deviation, 1.7)) in a prospective birth cohort study (1986-2001). Local black carbon levels were estimated using a validated spatiotemporal land-use regression model (mean predicted annual black carbon level, 0.56 mug/m(3) (standard deviation, 0.13)). The Wide Range Assessment of Memory and Learning and the Kaufman Brief Intelligence Test were administered for assessment of cognitive constructs. In analysis adjusting for sociodemographic factors, birth weight, blood lead level, and tobacco smoke exposure, black carbon (per interquartile-range increase) was associated with decreases in the vocabulary (-2.2, 95% confidence interval (CI): -5.5, 1.1), matrices (-4.0, 95% CI: -7.6, -0.5), and composite intelligence quotient (-3.4, 95% CI: -6.6, -0.3) scores of the Kaufman Brief Intelligence Test and with decreases on the visual subscale (-5.4, 95% CI: -8.9, -1.9) and general index (-3.9, 95% CI: -7.5, -0.3) of the Wide Range Assessment of Memory and Learning. Higher levels of black carbon predicted decreased cognitive function across assessments of verbal and nonverbal intelligence and memory constructs.",10.1093/aje/kwm308,B27
agglomeration economics,Edward L. Glaeser,2010,383,NOT Open Access,https://doi.org/10.7208/chicago/9780226297927.001.0001,,10.7208/chicago/9780226297927.001.0001,B27
are there returns to scale in city size,David R. Segal,1976,353,NOT Open Access,https://doi.org/10.2307/1924956,,10.2307/1924956,B27
evaluating urban transport improvements cost benefit analysis in the presence of agglomeration and income taxation,Anthony J. Venables,2007,311,Open Access,https://doi.org/10.3828/jtep.2007.41.2.173,"There is a substantial empirical literature quantifying the positive relationship between city size and productivity. This paper studies the implications of that relationship for evaluations of urban transport improvements. A theoretical model is developed and used to derive a cost–benefit measure that includes the impact of transport improvements on city size and hence on the productivity of new and existing city workers. The size of such effects is illustrated in a simple computable equilibrium model. It is argued that these productivity effects, particularly when combined with distortionary taxation, are quantitatively important, substantially increasing the gains attributable to urban transport improvements.",10.3828/jtep.2007.41.2.173,B27
chapter 51 human capital externalities in cities,Enrico Moretti,2004,307,NOT Open Access,https://doi.org/10.1016/s1574-0080(04)80008-7,,10.1016/s1574-0080(04)80008-7,B27
dots to boxes do the size and shape of spatial units jeopardize economic geography estimations,Ecole Hautes|Etudes Sciences Sociales|Universités D&amp;apos;aix-marseille Ii Et Iii|Anthony Briant|Miren Lafourcade|Anthony Briant|Miren Lafourcade,2008,307,NOT Open Access,,,,B27
economics of agglomeration cities industrial location and regional growth,Howard A. Stafford,2003,277,NOT Open Access,https://doi.org/10.1111/1467-8306.930301214,,10.1111/1467-8306.930301214,B27
agglomeration productivity and transport investment,Daniel J. Graham,2007,274,NOT Open Access,https://doi.org/10.3828/jtep.2007.41.3.317,,10.3828/jtep.2007.41.3.317,B27
effects of nitrogen dioxide on human health systematic review of experimental and epidemiological studies conducted between 2002 and 2006,Ute Latza|Silke Gerdes|Xaver Baur,2008,234,NOT Open Access,https://doi.org/10.1016/j.ijheh.2008.06.003,,10.1016/j.ijheh.2008.06.003,B27
chapter 59 the empirics of agglomeration and trade,Keith Head|Thierry Mayer,2004,226,NOT Open Access,https://doi.org/10.1016/s1574-0080(04)80016-6,,10.1016/s1574-0080(04)80016-6,B27
urban form and the ecological footprint of commuting the case of barcelona,Iván Muñiz|Anna Galindo,2005,224,NOT Open Access,https://doi.org/10.1016/j.ecolecon.2004.12.008,,10.1016/j.ecolecon.2004.12.008,B27
re evaluating the impact of urban form on travel patternsin europe and north america,Paul van de Coevering|Tim Schwanen,2005,162,NOT Open Access,https://doi.org/10.1016/j.tranpol.2005.10.001,,10.1016/j.tranpol.2005.10.001,B27
cost benefit analysis and large scale infrastructure projects state of the art and challenges,Roger Vickerman,2007,121,NOT Open Access,https://doi.org/10.1068/b32112,,10.1068/b32112,B27
testing for causality between productivity and agglomeration economies,Daniel J. Graham|Patricia S. Melo|Piyapong Jiwattanakulpaisarn|Robert B. Noland,2010,101,NOT Open Access,https://doi.org/10.1111/j.1467-9787.2010.00676.x,,10.1111/j.1467-9787.2010.00676.x,B27
